,Patton College,Ohio Univesity
Native Am,1.19,0.29
Asian Am,5.36,6.05
African Am,8.33,3.65
Hawaiian/Pacific,0.00,0.00
Hispanic,0.60,2.69
International,1.79,1.49
Two or More,1.19,1.15
Unknown,19.05,10.52
White,62.50,74.16
