,Patton College,Ohio Univesity
Native Am,0.96,0.41
Asian Am,4.31,3.30
African Am,8.61,3.47
Hawaiian/Pacific,0.00,0.04
Hispanic,0.48,1.92
International,1.91,1.43
Two or More,1.44,1.28
Unknown,17.70,7.99
White,64.59,80.16
